lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847403784747158476872,2021,Van Riemsdyk-Laughton-Atkinson,PHI,line,5on5,5,787.0,44.0,0.4,0.38,0.31,3.45,0.3,0.25,0.8,0.12,2.05,1.48,0.3,0.32,0.32,4.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,6.0,2.0,3.0,4.0,1.0,0.0,0.15,0.15,0.0,1.0,0.0,0.0,10.3,5.0,5.34,2.0,0.05,0.0,0.0,0.35,0.37,0.37,6.98,0.45,0.51,1.57,0.22,5.03,3.22,0.44,0.44,0.43,6.0,5.0,5.0,16.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,6.0,11.0,0.0,0.0,7.0,9.0,2.0,2.0,9.0,2.0,0.0,0.27,0.18,0.0,0.0,0.0,0.0,15.81,11.0,11.09,0.0,0.1,0.0,0.0,0.55,0.55,0.53
847488484758488480018,2021,Hoffman-Suzuki-Gallagher,MTL,line,5on5,8,2876.0,69.0,0.45,0.38,0.41,18.13,1.67,1.03,4.35,0.54,9.02,7.4,1.63,1.75,1.71,18.0,6.0,11.0,35.0,2.0,2.0,2.0,4.0,0.0,3.0,13.0,16.0,22.0,1.0,2.0,19.0,19.0,6.0,6.0,19.0,3.0,2.0,0.57,0.36,0.73,0.0,0.0,2.0,35.8,24.0,24.33,6.0,0.21,0.73,0.73,1.15,1.18,1.17,24.34,2.07,1.66,6.02,0.88,14.16,10.21,2.01,2.01,1.95,29.0,6.0,21.0,56.0,1.0,3.0,1.0,9.0,0.0,9.0,13.0,28.0,34.0,4.0,8.0,29.0,23.0,3.0,7.0,27.0,5.0,3.0,0.68,0.61,0.78,0.0,0.0,1.0,53.89,35.0,34.4,4.0,0.34,0.7,0.7,1.71,1.66,1.64
84758258476902,2021,Lindell-Hakanpaa,DAL,pairing,5on5,44,9309.0,216.0,0.32,0.39,0.4,49.59,3.18,2.87,12.79,1.56,25.85,20.75,3.16,3.21,3.19,48.0,19.0,29.0,96.0,5.0,0.0,0.0,15.0,3.0,11.0,33.0,43.0,62.0,11.0,22.0,88.0,87.0,15.0,21.0,52.0,13.0,2.0,1.17,1.47,0.54,2.0,2.0,1.0,96.2,67.0,67.52,14.0,0.6,0.0,0.0,3.77,3.81,3.79,73.09,6.66,4.87,16.97,2.35,40.46,29.69,6.25,6.67,6.22,81.0,20.0,51.0,152.0,5.0,5.0,0.0,23.0,1.0,29.0,38.0,76.0,96.0,10.0,20.0,55.0,72.0,14.0,29.0,75.0,19.0,7.0,2.25,2.19,2.21,3.0,1.0,1.0,150.71,101.0,99.42,14.0,1.01,1.54,1.54,6.12,6.05,5.92
847409884779988478585,2021,Foegele-Ryan-Sceviour,EDM,line,5on5,10,1686.0,92.0,0.42,0.46,0.45,13.43,1.03,0.88,2.97,0.45,6.81,5.87,0.97,1.01,0.95,13.0,5.0,8.0,26.0,0.0,1.0,0.0,2.0,0.0,5.0,10.0,13.0,18.0,2.0,7.0,10.0,17.0,5.0,1.0,15.0,1.0,2.0,0.42,0.11,0.51,0.0,0.0,0.0,25.59,18.0,17.81,1.0,0.18,0.26,0.26,0.95,0.94,0.93,16.49,1.44,0.96,3.86,0.52,8.56,6.65,1.42,1.51,1.49,21.0,1.0,8.0,30.0,3.0,0.0,0.0,8.0,0.0,6.0,5.0,18.0,19.0,3.0,9.0,14.0,14.0,6.0,6.0,16.0,4.0,2.0,0.42,0.46,0.56,2.0,0.0,1.0,31.32,22.0,22.93,5.0,0.2,0.0,0.0,1.64,1.72,1.7
84745638479998,2021,Anderson-Doughty,LAK,pairing,5on5,26,25162.0,36.0,0.58,0.61,0.61,246.99,21.32,16.75,57.76,8.01,135.17,100.0,20.55,21.19,20.42,250.0,89.0,107.0,446.0,20.0,19.0,4.0,57.0,3.0,93.0,147.0,230.0,319.0,23.0,55.0,192.0,169.0,34.0,45.0,257.0,62.0,20.0,7.67,7.93,5.72,7.0,7.0,6.0,446.74,339.0,339.11,31.0,3.47,4.75,4.13,20.66,20.48,20.23,159.25,15.57,11.23,36.45,5.01,85.58,63.16,15.03,16.02,15.46,164.0,53.0,70.0,287.0,14.0,14.0,3.0,47.0,9.0,56.0,77.0,150.0,203.0,35.0,80.0,209.0,218.0,37.0,53.0,153.0,46.0,18.0,5.07,5.48,5.02,4.0,6.0,4.0,292.96,217.0,221.76,38.0,2.34,3.12,3.37,14.55,14.93,14.72
84768538478408,2021,Rielly-Dermott,TOR,pairing,5on5,20,4800.0,135.0,0.41,0.49,0.46,39.58,3.52,2.78,8.38,1.14,21.62,15.55,3.49,3.41,3.37,39.0,14.0,21.0,74.0,5.0,0.0,0.0,8.0,1.0,12.0,27.0,34.0,48.0,3.0,6.0,36.0,22.0,16.0,20.0,35.0,16.0,2.0,1.21,1.87,0.44,1.0,2.0,2.0,71.57,53.0,51.54,12.0,0.58,0.0,0.0,4.1,3.97,3.93,45.67,5.06,3.22,10.18,1.51,23.52,18.52,4.83,5.3,5.05,46.0,16.0,14.0,76.0,5.0,4.0,2.0,10.0,0.0,21.0,22.0,41.0,57.0,4.0,8.0,32.0,34.0,6.0,21.0,43.0,10.0,9.0,1.12,1.35,2.6,0.0,2.0,3.0,77.63,62.0,63.81,19.0,0.68,1.04,0.95,4.79,4.98,4.85
847417684759588478466,2021,Hagelin-Sgarbossa-Sprong,WSH,line,5on5,4,610.0,58.0,0.74,0.71,0.71,11.38,1.02,0.9,2.45,0.35,5.71,4.57,0.94,1.05,0.96,11.0,4.0,0.0,15.0,0.0,1.0,0.0,2.0,0.0,6.0,6.0,11.0,15.0,0.0,0.0,6.0,7.0,0.0,0.0,9.0,5.0,1.0,0.17,0.62,0.23,0.0,0.0,0.0,15.27,15.0,15.2,0.0,0.19,0.23,0.23,0.98,1.01,0.96,4.28,0.35,0.32,0.97,0.13,2.58,1.64,0.35,0.35,0.35,5.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,6.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,2.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,5.93,6.0,5.97,1.0,0.06,0.0,0.0,0.42,0.41,0.41
847628884768518477951,2021,Galchenyuk-Dzingel-Schmaltz,ARI,line,5on5,2,803.0,7.0,0.2,0.23,0.11,0.88,0.12,0.09,0.12,0.02,0.42,0.23,0.12,0.12,0.12,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,6.0,2.0,5.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,2.73,1.0,1.04,4.0,0.02,0.0,0.0,0.14,0.14,0.14,5.68,0.47,0.4,1.22,0.17,3.37,2.38,0.47,0.52,0.52,7.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,0.0,0.0,7.0,5.0,3.0,3.0,5.0,3.0,0.0,0.19,0.28,0.0,0.0,1.0,0.0,10.65,8.0,8.51,2.0,0.08,0.0,0.0,0.55,0.61,0.61
847688084784668481580,2021,Wilson-Mcmichael-Sprong,WSH,line,5on5,4,912.0,37.0,0.62,0.54,0.55,5.82,1.02,0.39,1.28,0.17,3.3,2.43,1.0,1.03,1.01,9.0,8.0,3.0,20.0,0.0,0.0,0.0,4.0,1.0,4.0,8.0,9.0,17.0,0.0,0.0,7.0,6.0,0.0,2.0,14.0,3.0,0.0,0.7,0.32,0.0,0.0,0.0,0.0,21.14,17.0,17.54,1.0,0.08,0.0,0.0,0.51,0.5,0.5,4.82,0.61,0.34,1.32,0.2,3.41,2.51,0.61,0.6,0.6,8.0,6.0,3.0,17.0,3.0,0.0,0.0,2.0,0.0,2.0,7.0,5.0,11.0,0.0,0.0,4.0,2.0,1.0,3.0,14.0,0.0,0.0,0.61,0.0,0.0,3.0,0.0,0.0,16.28,14.0,13.65,3.0,0.07,0.0,0.0,0.29,0.29,0.29
84717358474027,2021,Yandle-Braun,PHI,pairing,5on5,20,3236.0,140.0,0.33,0.47,0.44,18.67,1.65,1.16,4.7,0.65,10.93,7.91,1.63,1.62,1.6,22.0,5.0,19.0,46.0,2.0,2.0,1.0,6.0,0.0,6.0,11.0,20.0,25.0,1.0,2.0,21.0,29.0,5.0,8.0,22.0,3.0,2.0,0.69,0.31,0.66,1.0,0.0,1.0,44.2,27.0,26.54,5.0,0.24,0.66,0.66,1.23,1.21,1.2,25.5,3.36,1.8,6.27,0.91,13.12,9.54,3.16,3.58,3.36,21.0,14.0,17.0,52.0,3.0,8.0,2.0,5.0,1.0,7.0,11.0,18.0,32.0,3.0,9.0,28.0,22.0,11.0,7.0,22.0,8.0,5.0,0.64,1.1,1.61,0.0,1.0,2.0,54.15,35.0,36.41,5.0,0.38,1.77,1.6,2.13,2.23,2.2
