team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
EDM,2021,EDM,EDM,Team Level,other,47,0.68,0.53,0.52,6923.0,90.73,23.58,6.42,13.55,2.65,43.91,28.9,22.78,23.58,22.78,85.0,34.0,29.0,148.0,19.0,7.0,2.0,12.0,1.0,43.0,37.0,66.0,100.0,1.0,2.0,66.0,21.0,14.0,15.0,46.0,45.0,28.0,2.0,5.45,16.12,0.0,3.0,16.0,148.0,119.0,119.0,8.0,1.83,2.73,2.73,22.68,22.68,22.06,77.17,11.01,5.49,15.08,2.78,44.63,29.01,10.74,11.01,10.74,86.0,22.0,25.0,133.0,13.0,6.0,0.0,12.0,4.0,36.0,37.0,73.0,95.0,5.0,10.0,69.0,20.0,10.0,17.0,65.0,35.0,8.0,2.61,4.37,4.03,6.0,3.0,4.0,133.0,108.0,108.0,5.0,1.54,0.92,0.92,11.63,11.63,11.36
EDM,2021,EDM,EDM,Team Level,all,47,0.54,0.53,0.52,171252.0,1552.75,158.12,108.64,339.88,49.24,844.25,630.86,152.7,158.71,153.27,1574.0,557.0,714.0,2845.0,151.0,112.0,23.0,343.0,52.0,718.0,755.0,1423.0,1980.0,152.0,326.0,1369.0,1030.0,339.0,454.0,1508.0,471.0,152.0,45.21,57.28,55.63,38.0,55.0,58.0,2853.28,2131.0,2135.74,275.0,24.03,25.54,25.78,156.37,156.77,153.37,1438.22,136.69,100.54,323.64,46.82,812.32,574.0,132.63,137.94,133.86,1506.0,488.0,563.0,2557.0,149.0,101.0,21.0,304.0,50.0,622.0,768.0,1357.0,1845.0,146.0,309.0,1270.0,1093.0,362.0,493.0,1450.0,425.0,119.0,45.96,50.71,40.02,58.0,45.0,46.0,2571.37,1994.0,2008.23,314.0,22.19,19.74,19.74,139.14,140.44,137.61
EDM,2021,EDM,EDM,Team Level,5on5,47,0.51,0.53,0.51,139422.0,1195.84,101.22,79.47,277.56,38.14,657.85,495.77,98.29,101.81,98.86,1211.0,439.0,607.0,2257.0,96.0,84.0,16.0,283.0,40.0,544.0,603.0,1115.0,1554.0,136.0,294.0,1073.0,953.0,284.0,379.0,1237.0,322.0,91.0,37.01,39.52,24.69,27.0,44.0,25.0,2265.28,1650.0,1654.74,234.0,16.44,17.31,17.55,100.11,100.51,99.08,1135.43,96.87,75.53,263.7,36.55,633.06,466.29,94.43,98.12,95.66,1188.0,384.0,457.0,2029.0,102.0,75.0,16.0,243.0,36.0,479.0,637.0,1086.0,1470.0,124.0,265.0,966.0,1025.0,302.0,409.0,1175.0,319.0,78.0,37.69,37.97,21.21,46.0,34.0,22.0,2043.37,1572.0,1586.24,277.0,15.62,13.67,13.67,98.82,100.12,98.72
EDM,2021,EDM,EDM,Team Level,4on5,47,0.14,0.17,0.19,13395.0,51.0,4.21,2.21,6.55,1.52,15.54,37.98,4.19,4.21,4.19,57.0,11.0,5.0,73.0,5.0,1.0,1.0,12.0,1.0,12.0,37.0,52.0,63.0,5.0,10.0,105.0,39.0,31.0,32.0,48.0,18.0,2.0,1.42,2.25,0.54,4.0,0.0,1.0,73.0,68.0,68.0,32.0,0.51,0.33,0.33,4.39,4.39,4.38,203.77,26.1,18.23,42.17,6.86,127.63,64.01,24.8,26.1,24.8,209.0,76.0,79.0,364.0,31.0,19.0,5.0,48.0,10.0,102.0,75.0,178.0,254.0,12.0,24.0,147.0,11.0,19.0,43.0,195.0,61.0,29.0,5.22,7.08,13.81,6.0,6.0,19.0,364.0,285.0,285.0,9.0,4.74,4.93,4.93,25.91,25.91,24.76
EDM,2021,EDM,EDM,Team Level,5on4,47,0.91,0.92,0.91,11512.0,215.18,29.11,20.56,42.22,6.93,126.96,68.22,27.43,29.11,27.43,221.0,73.0,73.0,367.0,31.0,20.0,4.0,36.0,10.0,119.0,78.0,190.0,263.0,10.0,20.0,125.0,17.0,10.0,28.0,177.0,86.0,31.0,4.77,10.06,14.29,7.0,8.0,16.0,367.0,294.0,294.0,1.0,5.25,5.18,5.18,29.19,29.19,27.85,21.84,2.71,1.29,2.68,0.64,6.99,14.69,2.66,2.71,2.66,23.0,6.0,2.0,31.0,3.0,1.0,0.0,1.0,0.0,5.0,19.0,20.0,26.0,5.0,10.0,88.0,37.0,31.0,24.0,15.0,10.0,4.0,0.44,1.3,0.96,0.0,2.0,1.0,31.0,29.0,29.0,23.0,0.3,0.22,0.22,2.79,2.79,2.76
DAL,2021,DAL,DAL,Team Level,other,47,0.51,0.53,0.51,6798.0,93.49,18.14,6.63,17.78,3.28,53.62,31.54,17.43,18.14,17.43,89.0,42.0,49.0,180.0,20.0,5.0,0.0,15.0,6.0,50.0,35.0,69.0,111.0,4.0,8.0,78.0,25.0,10.0,17.0,76.0,32.0,23.0,3.23,4.36,10.56,2.0,5.0,13.0,180.0,131.0,131.0,8.0,1.87,1.0,1.0,19.01,19.01,18.38,88.38,17.79,6.58,14.96,2.96,51.49,31.22,16.95,17.79,16.95,84.0,41.0,37.0,162.0,18.0,3.0,2.0,14.0,3.0,52.0,35.0,66.0,107.0,8.0,16.0,82.0,20.0,10.0,21.0,60.0,44.0,21.0,2.51,5.53,9.75,3.0,4.0,11.0,162.0,125.0,125.0,10.0,1.96,1.09,1.09,18.65,18.65,17.84
DAL,2021,DAL,DAL,Team Level,all,47,0.54,0.5,0.5,171245.0,1433.71,154.0,99.3,327.09,46.89,783.68,567.03,143.61,153.89,143.49,1425.0,553.0,673.0,2651.0,139.0,115.0,21.0,306.0,62.0,607.0,749.0,1286.0,1839.0,147.0,309.0,1519.0,1028.0,275.0,460.0,1397.0,410.0,171.0,41.17,50.04,62.79,31.0,48.0,60.0,2645.89,1978.0,1975.7,251.0,22.23,29.26,29.32,146.91,146.73,140.83,1418.67,131.54,96.54,322.37,45.88,808.06,586.6,127.0,131.67,127.09,1446.0,545.0,685.0,2676.0,141.0,92.0,18.0,329.0,48.0,626.0,755.0,1305.0,1850.0,151.0,320.0,1267.0,934.0,235.0,436.0,1495.0,378.0,118.0,43.26,45.74,42.54,48.0,46.0,47.0,2672.09,1991.0,1989.14,212.0,21.24,20.75,20.75,132.03,132.07,128.76
DAL,2021,DAL,DAL,Team Level,5on5,47,0.5,0.49,0.49,139455.0,1093.3,92.97,72.65,260.53,35.56,603.75,447.54,89.92,92.85,89.8,1086.0,427.0,527.0,2040.0,85.0,80.0,15.0,247.0,43.0,447.0,611.0,1001.0,1428.0,131.0,279.0,1184.0,965.0,230.0,377.0,1124.0,300.0,89.0,32.23,35.33,25.41,24.0,35.0,26.0,2034.89,1513.0,1510.7,221.0,15.04,19.36,19.43,88.59,88.42,87.04,1128.79,91.68,74.52,269.25,36.82,639.94,471.79,89.07,91.81,89.17,1158.0,426.0,569.0,2153.0,93.0,84.0,13.0,279.0,38.0,480.0,610.0,1065.0,1491.0,127.0,274.0,969.0,877.0,197.0,348.0,1224.0,285.0,75.0,35.03,34.46,22.19,38.0,34.0,21.0,2149.09,1584.0,1582.14,173.0,15.35,17.85,17.85,89.18,89.21,87.84
DAL,2021,DAL,DAL,Team Level,4on5,47,0.16,0.16,0.17,12283.0,36.92,3.54,2.01,5.26,1.03,10.97,25.18,3.49,3.54,3.49,40.0,8.0,9.0,57.0,3.0,3.0,0.0,3.0,2.0,13.0,24.0,37.0,45.0,5.0,10.0,113.0,31.0,27.0,20.0,33.0,12.0,3.0,1.08,1.64,0.81,1.0,2.0,0.0,57.0,48.0,48.0,18.0,0.46,0.55,0.55,3.45,3.45,3.43,161.96,18.87,13.7,33.27,5.03,104.39,53.73,17.83,18.87,17.83,161.0,68.0,73.0,302.0,28.0,5.0,3.0,34.0,6.0,86.0,70.0,133.0,201.0,11.0,22.0,123.0,13.0,7.0,39.0,169.0,40.0,20.0,4.46,4.56,9.84,6.0,7.0,15.0,302.0,229.0,229.0,4.0,3.52,1.8,1.8,20.59,20.59,19.56
DAL,2021,DAL,DAL,Team Level,5on4,47,0.92,0.86,0.84,12709.0,210.01,39.35,18.0,43.51,7.02,115.34,62.78,32.76,39.35,32.76,210.0,76.0,88.0,374.0,31.0,27.0,6.0,41.0,11.0,97.0,79.0,179.0,255.0,7.0,12.0,144.0,7.0,8.0,46.0,164.0,66.0,56.0,4.63,8.71,26.02,4.0,6.0,21.0,374.0,286.0,286.0,4.0,4.85,8.34,8.34,35.85,35.85,31.99,39.53,3.21,1.76,4.89,1.07,12.23,29.86,3.14,3.21,3.14,43.0,10.0,6.0,59.0,2.0,0.0,0.0,2.0,1.0,8.0,40.0,41.0,51.0,5.0,8.0,93.0,24.0,21.0,28.0,42.0,9.0,2.0,1.26,1.18,0.76,1.0,1.0,0.0,59.0,53.0,53.0,25.0,0.41,0.0,0.0,3.61,3.61,3.54
